iter	Passed	Remaining
0	1	1087
1	1	963
2	2	917
3	3	881
4	4	912
5	6	996
6	6	973
7	7	962
8	8	961
9	9	944
10	10	932
11	11	917
12	11	905
13	12	895
14	13	888
15	14	879
16	15	874
17	15	865
18	16	859
19	17	856
20	18	851
21	19	847
22	20	862
23	21	871
24	22	867
25	23	867
26	24	865
27	24	856
28	25	848
29	26	841
30	26	833
31	27	826
32	28	822
33	28	817
34	29	810
35	30	804
36	30	799
37	31	798
38	32	792
39	32	789
40	33	785
41	34	782
42	36	801
43	36	802
44	37	802
45	38	801
46	39	797
47	40	794
48	40	791
49	41	788
50	42	785
51	42	781
52	43	778
53	44	775
54	44	771
55	45	769
56	46	766
57	47	763
58	47	760
59	48	757
60	49	754
61	50	757
62	51	764
63	52	764
64	53	763
65	54	773
66	55	771
67	56	769
68	56	766
69	57	763
70	58	760
71	58	756
72	59	753
73	60	751
74	60	748
75	61	745
76	61	742
77	62	739
78	63	737
79	64	736
80	64	734
81	66	740
82	66	739
83	67	738
84	68	736
85	69	736
86	69	733
87	70	731
88	71	729
89	71	727
90	72	725
91	73	723
92	73	720
93	74	718
94	75	716
95	75	714
96	76	715
97	77	715
98	78	716
99	79	715
100	80	714
101	81	718
102	82	720
103	83	719
104	84	717
105	85	717
106	85	715
107	86	713
108	87	711
109	87	709
110	88	707
111	89	705
112	89	704
113	90	702
114	90	700
115	91	698
116	92	695
117	92	694
118	93	693
119	94	691
120	95	690
121	96	692
122	97	696
123	98	696
124	99	695
125	100	695
126	100	692
127	101	690
128	102	689
129	102	687
130	103	686
131	104	684
132	104	682
133	105	681
134	106	679
135	106	678
136	107	676
137	108	675
138	108	673
139	109	672
140	110	670
141	111	671
142	112	675
143	113	674
144	114	673
145	114	672
146	115	670
147	116	669
148	116	667
149	117	666
150	118	664
151	118	663
152	119	661
153	120	660
154	120	659
155	121	658
156	122	656
157	123	655
158	123	654
159	124	652
160	124	649
161	125	648
162	126	650
163	127	650
164	128	650
165	129	649
166	129	648
167	130	647
168	131	645
169	131	644
170	132	643
171	133	642
172	133	640
173	134	639
174	135	637
175	135	636
176	136	634
177	137	633
178	137	631
179	138	630
180	139	629
181	139	628
182	140	627
183	142	630
184	143	630
185	143	629
186	144	628
187	145	627
188	145	626
189	146	625
190	147	624
191	148	622
192	148	621
193	149	620
194	150	619
195	150	618
196	151	616
197	152	616
198	152	614
199	153	613
200	154	612
201	154	611
202	155	610
203	156	610
204	157	611
205	158	611
206	159	610
207	160	609
208	160	608
209	161	607
210	162	606
211	163	605
212	163	605
213	164	604
214	165	603
215	165	602
216	166	600
217	167	599
218	167	598
219	168	597
220	169	596
221	169	594
222	170	594
223	171	595
224	172	595
225	173	594
226	174	594
227	175	593
228	176	592
229	176	591
230	177	591
231	178	590
232	179	589
233	179	588
234	180	587
235	181	586
236	181	585
237	182	583
238	183	582
239	183	582
240	184	581
241	185	580
242	185	578
243	187	579
244	188	580
245	189	579
246	189	579
247	190	578
248	191	577
249	192	576
250	192	575
251	193	574
252	194	573
253	194	572
254	195	571
255	196	570
256	197	569
257	197	568
258	198	567
259	199	566
260	199	565
261	200	564
262	201	563
263	202	564
264	203	564
265	204	564
266	205	563
267	205	562
268	206	561
269	207	560
270	207	558
271	209	559
272	209	558
273	210	557
274	210	555
275	211	554
276	212	554
277	213	553
278	213	552
279	214	552
280	215	551
281	216	550
282	217	551
283	218	551
284	219	551
285	220	551
286	221	550
287	222	549
288	223	548
289	223	547
290	224	546
291	225	545
292	225	544
293	226	543
294	227	543
295	228	542
296	228	541
297	229	540
298	230	539
299	230	538
300	231	537
301	232	538
302	234	538
303	235	538
304	235	537
305	236	536
306	237	535
307	237	533
308	238	532
309	238	531
310	239	531
311	240	530
312	241	529
313	242	529
314	243	528
315	243	528
316	244	526
317	245	526
318	246	525
319	246	524
320	247	524
321	249	524
322	250	524
323	251	524
324	252	523
325	252	522
326	253	522
327	254	521
328	255	520
329	255	519
330	256	518
331	257	517
332	257	516
333	258	515
334	259	514
335	260	514
336	260	513
337	261	512
338	262	511
339	264	512
340	264	512
341	265	511
342	266	510
343	267	510
344	268	509
345	268	508
346	269	507
347	270	506
348	270	505
349	271	504
350	272	503
351	272	502
352	273	501
353	274	500
354	274	499
355	275	498
356	276	497
357	276	496
358	277	495
359	279	496
360	280	496
361	280	495
362	281	494
363	282	493
364	283	492
365	283	491
366	284	490
367	285	490
368	286	489
369	286	488
370	287	487
371	288	486
372	288	485
373	289	484
374	290	483
375	290	482
376	291	482
377	292	481
378	293	480
379	294	480
380	295	479
381	296	479
382	296	478
383	297	477
384	298	477
385	299	476
386	300	475
387	300	474
388	301	473
389	301	472
390	302	471
391	303	471
392	304	470
393	305	469
394	306	468
395	306	467
396	307	466
397	308	465
398	309	466
399	310	465
400	311	465
401	312	464
402	312	463
403	313	462
404	314	461
405	314	460
406	315	459
407	316	458
408	316	458
